,Rank,Song Name,Artist,Album,Lyrics,Year,bins
970,643,To Binge (Feat. Little Dragon),Gorillaz,,"[Verse 1: Yukimi Nagano]
Waiting by the mailbox, by the train
Passin' by the hills 'til I hear the name
I'm looking for a saw to cut the chains in half and all I want is
Someone to rely on as
Thunder comes a-rolling down
Someone to rely on as
Lightning comes a-staring in again

[Verse 2: 2-D]
I'll wait to be forgiven
Maybe I never will
My star has left me
To take the bitter pill
That shattered feeling
Well, the cause of it's a lesson learned
""Just don't know if I could roll into the sea again
Just don't know if I could do it all again,"" she said—it's true

[Verse 3: Yukimi Nagano]
Waiting in my room, and I lock the door
I watch the coloured animals across the floor
And I'm looking from a distance
And I'm listening to the whispers
And oh, it ain't the same, when you're falling out of feeling and you're
Falling in and caught again
Cau-au-au-aught again

[Verse 4: 2-D]
I'm caught again in the mystery
You're by my side, but are you still with me?
The answer's somewhere deep in it, I'm sorry but you're feeling it
But I just have to tell you that I love you so much these days
Have to tell you that I love you so much these days, it's true

[Outro: 2-D, (Yukimi Nagano) & Both]
My heart is in economy
Due to this autonomy
Rolling in and caught again
Cau-au-au-aught again
Cau-au-au-aught again
(Cau-au-au-aught again)
My heart is in economy
Due to this autonomy (Cau-au-au-aught again)
Rolling in and caught again
Cau-au-au-aught again",2010,2010s
971,648,Dear Future Husband,Meghan Trainor,Title,"[Intro]
Dear future husband
Here's a few things you'll need to know if
You wanna be my one and only
All my life

[Verse 1]
Take me on a date, I deserve it, babe
And don't forget the flowers every anniversary
'Cause if you'll treat me right, I'll be the perfect wife
Buying groceries, buy-buying what you need
You got the 9 to 5, but baby, so do I
So don't be thinkin' I'll be home and baking apple pies
I never learned to cook, but I can write a hook
Sing along with me, sing, sing along with me (Hey)

[Pre-Chorus]
You've gotta know how to treat me like a lady
Even when I'm actin' crazy
Tell me everything's alright

[Chorus]
Dear future husband
Here's a few things you'll need to know if
You wanna be my one and only
All my life
Dear future husband
If you wanna get that special loving
Tell me I'm beautiful each and every night (Woo)

[Verse 2]
After every fight, just apologize
And maybe then I'll let you try and rock my body right
Even if I was wrong, you know I'm never wrong
Why disagree, why, why disagree

[Pre-Chorus]
You've gotta know how to treat me like a lady
Even when I'm actin' crazy
Tell me everything's alright (Alright)

[Chorus]
Dear future husband
Here's a few things you'll need to know if
You wanna be my one and only
All my life (Hey baby, hey)
Dear future husband
Make time for me, don't leave me lonely
And no, we'll never see your family more than mine

[Bridge]
I'll be sleeping on the left side of the bed (Hey)
Open doors for me and you might get some... kisses
Don't have a dirty mind, just be a classy guy
Buy me a ring, buy, buy me a ring, babe

[Pre-Chorus]
You've gotta know how to treat me like a lady
Even when I'm actin' crazy
Tell me everything's alright (Woo)

[Chorus]
Dear future husband
Here's a few things you'll need to know if
You wanna be my one and only
All my life
Dear future husband
If you wanna get that special lovin'
Tell me I'm beautiful each and every night (That's right)
(Oh, whoa) Future husband, better love me right",2014,2010s
972,652,Drawn to the Blood,Sufjan Stevens,Carrie & Lowell,"[Verse 1]
I’m drawn to the blood
The flight of a one-winged dove
How? How did this happen?
How? How did this happen?

The strength of his arm
My lover caught me off guard
How? Head of a rabbit
How? Head of a rabbit

[Chorus]
For my prayer has always been love
What did I do to deserve this?

[Verse 2]
With blood on my sleeve
Delilah, avenge my grief
How? God of Elijah
How? God of Elijah

As fire to the sun
Tell me what I have done
How? Heart of a dragon?
How? Heart of a dragon?

[Chorus]
For my prayer has always been love
What did I do to deserve this now?
How did this happen?",2015,2010s
973,655,Absolute Beginners,David Bowie,Best of Bowie,"[Verse 1]
I've nothing much to offer
There's nothing much to take
I'm an absolute beginner
And I'm absolutely sane
As long as we're together
The rest can go to hell
I absolutely love you
But we're absolute beginners
With eyes completely open
But nervous all the same

[Chorus]
If our love song
Could fly over mountains
Could laugh at the ocean
Just like the films
There's no reason
To feel all the hard times
To lay down the hard lines
It's absolutely true

[Verse 2]
Nothing much could happen
Nothing we can't shake
Oh we're absolute beginners
With nothing much at stake
As long as you're still smiling
There's nothing more I need
I absolutely love you
But we're absolute beginners
But if my love is your love
We're certain to succeed

[Chorus]
If our love song
Could fly over mountains
Sail over heartaches
Just like the films
If there's reason
To feel all the hard times
To lay down the hard lines
It's absolutely true",1986,80s
974,656,Vision of Love,Mariah Carey,Mariah Carey,"[Verse 1]
Treated me kind
Sweet destiny
Carried me through desperation
To the one that was waiting for me
It took so long
Still I believed
Somehow the one that I needed
Would find me eventually

[Chorus]
I had a vision of love
And it was all that you've given to me

[Verse 2]
Prayed through the nights
Felt so alone
Suffered from alienation
Carried the weight on my own
Had to be strong
So I believed
And now I know I've succeeded
In finding the place I conceived

[Chorus]
I had a vision of love
And it was all that you've given to me
I had a vision of love
And it was all that you've given me

[Bridge]
I've realized the dream
And I visualized
The love that came to be
Feel so alive
I'm so thankful that I've received
The answer that heaven has sent down to me

[Verse 3]
You treated me kind
Sweet destiny
And I'll be eternally grateful
Holding you so close to me
Prayed through the nights
So faithfully
Knowing the one that I needed
Would find me eventually

[Chorus]
I had a vision of love
And it was all that you've given to me
I had a vision of love
And it was all that you turned out to be",1990,90s
975,657,Begin Again,Taylor Swift,Red,"[Verse 1]
Took a deep breath in the mirror
He didn't like it when I wore high heels, but I do
Turn the lock and put my headphones on
He always said he didn't get this song but I do, I do
Walked in, expecting you'd be late
But you got here early and you stand and wave
I walk to you
You pull my chair out and help me in
And you don't know how nice that is, but I do

[Chorus]
And you throw your head back laughing like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinking all love ever does is break and burn and end
But on a Wednesday in a cafe, I watched it begin again

[Verse 2]
You said you never met one girl who
Had as many James Taylor records as you, but I do
We tell stories and you don't know why
I'm coming off a little shy, but I do

[Chorus]
But you throw your head back laughing like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinking all love ever does is break and burn and end
But on a Wednesday in a cafe, I watched it begin again

[Bridge]
And we walked down the block to my car
And I almost brought him up
But you start to talk
About the movies that your family watches
Every single Christmas, and I will talk about that
And for the first time, what's past is past

[Chorus]
'Cause you throw your head back laughing like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinking all love ever does is break and burn and end
But on a Wednesday in a cafe, I watched it begin again

[Outro]
But on a Wednesday in a cafe, I watched it begin again",2012,2010s
976,660,I Know,Fiona Apple,Original Album Classics,"[Verse 1]
So be it, I’m your crowbar
If that’s what I am so far
Until you get out of this mess
And I will pretend
That I don’t know of your sins
Until you are ready to confess
But all the time, all the time
I’ll know, I’ll know

[Verse 2]
And you can use my skin
To bury secrets in
And I will settle you down
And at my own suggestion
I will ask no questions
While I do my thing in the background
But all the time, all the time
I’ll know, I’ll know

[Breakdown]
Baby
I can't help you out
While she is still around

[Verse 3]
So for the time being, I'm being patient
And amidst this bitterness
If you'll just consider this
Even if it don’t make sense all the time
Give it time
And when the crowd becomes your burden
And you've early closed your curtain
I'll wait by the backstage door

[Verse 4]
While you try to find
The lines to speak your mind
And pry it open, hoping for an encore
And if it gets too late, for me to wait
For you to find you love me, and tell me so
It’s ok, don’t need to say it",1999,90s
977,662,Green Aisles,Real Estate,Days,"Under dormant trees
Under bright lit skies
Mountains of maple leaves
Standing side by side

The phone lines
The street lights
Led me to you

And if you
Just sit tight
I'll be there soon

All those wasted miles
All those aimless drives
Through green aisles
Our careless life style
It was not so unwise
No

I rode right past
The train tracks on
Ancient as the stone
Blacked out on a bicycle
I made my way back home

The houses were humming
All through the night
And winter was coming
But that was alright

All those wasted miles
All those aimless drives
Through green aisles
Our careless life style
It was not so unwise
No

The phone lines
The street lights
Led me to you

And if you
Just sit tight
I'll be there soon

All those wasted miles
All those aimless drives
Through green aisles
Our careless life style
It was not so unwise
No",2011,2010s
978,664,Lozenge Of Love,Radiohead,The Golden Unplugged Album,"[Verse 1]
I am gone, everybody's raging
And these fruits, they still taste of poison

[Chorus 1]
I won't be around
When you really need me

[Verse 2]
I can't sleep, why can't someone hold me?
I need warmth, our restless body cracks and moans

[Chorus 2]
I won't have the strength
When you really need me",1994,90s
979,665,Halcyon,Ellie Goulding,Halcyon,"[Verse 1]
I know it's not over, baby I worked this out for sure
It's going to be colder, now you've forced open the door
I know you better than I ever have before
I know you

I know you're a fighter
But you never fought for me when I was a shelter
So you're not heading home to me

We could be closer, we could be closer
We could be

[Pre-Chorus]
When it's just us
You show me what it feels like to be lonely
You show me what it feels like to be lost
I take your hand for you to let it go
Let it go, let it go, let it go

[Pre-Chorus]
When it's just us
You show me what it feels like to be lonely
You show me what it feels like to be lost
I take your hand for you to let it go
Let it go, let it go, let it go

[Chorus]
It's going to be, it's gonna be better
It's going to be better, it's gonna be better
It's going to be better
It's going to be better
It's going to be better
It's going to be
It's going to be better
It's going to be better

[Verse 2]
We'll take a long walk, down the alleys of these houses
And we'll talk, see what conversation rouses when we're alone
When we're alone, it could be home

[Pre-Chorus]
When it's just us
You show me what it feels like to be lonely
You show me what it feels like to be lost
I take your hand for you to let it go
Let it go, let it go, let it go

[Chorus]
It's going to be, it's gonna be better
It's going to be better, it's gonna be better
It's going to be better
It's going to be better
It's going to be better
It's going to be
It's going to be better
It's going to be better",2012,2010s
